index,"movie","name","point"
142,"드래곤 길들이기 3","remo****","10"
143,"신과함께-인과 연","ehse****","10"
144,"더 넌","ehse****","5"
145,"뺑반","best****","10"
146,"극한직업","ljue****","10"
147,"극한직업","kkis****","10"
148,"극한직업","ehse****","10"
149,"극한직업","sho7****","10"
150,"뺑반","qqkd****","1"
151,"아쿠아맨","nice****","10"
152,"해리 포터와 불사조 기사단","wodu****","6"
153,"뺑반","ssam****","6"
154,"뺑반","miss****","10"
155,"뺑반","thgu****","10"
156,"PMC: 더 벙커","ghkd****","1"
157,"내안의 그놈","mng9****","2"
158,"극한직업","0029****","4"
159,"극한직업","upse****","8"
160,"극한직업","kny2****","10"
161,"극한직업","sbsp****","9"
162,"내안의 그놈","sims****","9"
163,"뺑반","your****","10"
164,"극한직업","7257****","10"
165,"인생 후르츠","sorr****","9"
166,"뺑반","sara****","1"
167,"극한직업","sso0****","10"
168,"내안의 그놈","qkrr****","10"
169,"파수꾼","sayv****","1"
170,"뺑반","kong****","2"
171,"뺑반","msw1****","10"
172,"극한직업","az31****","10"
173,"극한직업","oori****","10"
174,"뺑반","suni****","10"
175,"드래곤 길들이기 3","ehdd****","9"
176,"뺑반","shil****","8"
177,"극한직업","jhkc****","10"
178,"극한직업","qazq****","10"
179,"극한직업","ss68****","2"
180,"리틀 도쿄","mrq1****","10"
181,"베일리 어게인","youn****","10"
182,"뺑반","wjd_****","10"
183,"뺑반","rowl****","10"
184,"뺑반","enld****","9"
185,"드래곤 길들이기 3","dope****","10"
186,"미래의 미라이","rozy****","2"
187,"극한직업","kook****","8"
188,"드래곤 길들이기 3","et-5****","10"
189,"말모이","abcj****","8"
190,"뺑반","silg****","10"
191,"극한직업","wlsk****","8"
192,"보헤미안 랩소디","huck****","4"
193,"뺑반","swor****","8"
194,"뺑반","swor****","8"
195,"내안의 그놈","kkk8****","1"
196,"뺑반","elgu****","10"
197,"드래곤 길들이기 3","cas7****","10"
198,"뺑반","jtg1****","10"
199,"아쿠아맨","skyw****","9"
0,"뺑반","kang****","2"
1,"피아니스트","kpu5****","10"
2,"너의 결혼식","tjdd****","8"
3,"시네마 천국","sara****","10"
4,"친절한 금자씨","kkh8****","10"
5,"그린 북","iwil****","10"
6,"성난황소","tjdd****","6"
7,"극한직업","jote****","10"
8,"극한직업","bae0****","10"
9,"뺑반","enes****","1"
10,"뺑반","syb7****","10"
11,"극한직업","kako****","1"
12,"가버나움","unif****","10"
13,"극한직업","asd9****","10"
14,"드래곤 길들이기 3","emma****","8"
15,"뺑반","koni****","1"
16,"뺑반","kje4****","10"
17,"가버나움","gree****","10"
18,"극한직업","5835****","10"
19,"극한직업","mous****","10"
20,"극한직업","hyuk****","10"
21,"언니","leek****","7"
22,"극한직업","jhj8****","10"
23,"드래곤 길들이기 3","lwlq****","10"
24,"극한직업","jeon****","10"
25,"드래곤 길들이기 3","xd4q****","10"
26,"드래곤 길들이기 3","vimo****","10"
27,"드래곤 길들이기 3","evd4****","10"
28,"뺑반","mktm****","10"
29,"뺑반","phil****","10"
30,"드래곤 길들이기 3","kos5****","9"
31,"드래곤 길들이기 3","ekfg****","10"
32,"드래곤 길들이기 3","cyr2****","10"
33,"극한직업","kwon****","10"
34,"뺑반","miap****","10"
35,"보헤미안 랩소디","tjdd****","8"
36,"뺑반","namw****","1"
37,"드래곤 길들이기 3","wbvy****","10"
38,"뺑반","yh42****","9"
39,"드래곤 길들이기 3","m5bf****","10"
40,"극한직업","nexo****","1"
41,"청년경찰","ilif****","1"
42,"써니","chee****","10"
43,"드래곤 길들이기 3","nigh****","9"
44,"사운드 오브 뮤직","dyki****","6"
45,"뺑반","zlzm****","10"
46,"드래곤 길들이기 3","jun_****","10"
47,"극한직업","woor****","10"
48,"뺑반","chun****","2"
49,"노아","ambi****","2"
50,"뺑반","scul****","10"
51,"내안의 그놈","gui0****","8"
52,"뺑반","getm****","10"
53,"극한직업","j1h1****","7"
54,"드래곤 길들이기 3","twin****","9"
55,"극한직업","ilyo****","10"
56,"드래곤 길들이기 3","uuut****","10"
57,"극한직업","5424****","2"
58,"뺑반","dydd****","10"
59,"국가부도의 날","jun7****","10"
60,"뺑반","yeri****","10"
61,"아쿠아맨","jun7****","10"
62,"뺑반","rice****","10"
63,"패딩턴 2","endm****","10"
64,"러브 유어셀프 인 서울","dksr****","1"
65,"500일의 썸머","maey****","4"
66,"극한직업","km04****","10"
67,"극한직업","only****","10"
68,"안시성","yhtg****","1"
69,"끝까지 간다","onod****","7"
70,"뺑반","jun_****","1"
71,"뺑반","yaho****","2"
72,"극한직업","looo****","10"
73,"악마를 보았다","ambi****","9"
74,"드래곤 길들이기 3","ghn0****","10"
75,"지붕 위의 바이올린","dyki****","5"
76,"뺑반","n_n6****","10"
77,"주먹왕 랄프 2: 인터넷 속으로","yja0****","10"
78,"극한직업","gr99****","10"
79,"극한직업","tlst****","10"
80,"뺑반","ancl****","5"
81,"뺑반","bata****","10"
82,"스윙키즈","toom****","8"
83,"박쥐","sumi****","10"
84,"극한직업","a006****","10"
85,"드래곤 길들이기 3","vxmn****","10"
86,"뺑반","3375****","10"
87,"뺑반","dnck****","10"
88,"공작","joil****","8"
89,"나, 다니엘 블레이크","pje0****","10"
90,"극한직업","hotr****","10"
91,"주먹왕 랄프 2: 인터넷 속으로","wsc_****","10"
92,"내안의 그놈","hotr****","10"
93,"황해","beer****","10"
94,"극장판 포켓몬스터 모두의 이야기","hotr****","10"
95,"스파이더맨: 뉴 유니버스","hotr****","10"
96,"성난황소","hotr****","10"
97,"뺑반","jmk6****","10"
98,"목격자","hotr****","10"
99,"뺑반","gwho****","10"
100,"드래곤 길들이기 3","euji****","10"
101,"암수살인","hotr****","10"
102,"벤자민 버튼의 시간은 거꾸로 간다","gasg****","10"
103,"극한직업","torn****","3"
104,"뺑반","banz****","10"
105,"뺑반","song****","6"
106,"뺑반","ljk6****","10"
107,"극한직업","cage****","10"
108,"나비 효과","ianw****","10"
109,"뺑반","sunt****","8"
110,"뺑반","rhdd****","10"
111,"극한직업","cath****","10"
112,"아쿠아맨","brai****","9"
113,"그린 북","vose****","10"
114,"뺑반","pbm7****","10"
115,"더 넌","samm****","10"
116,"뺑반","eltl****","7"
117,"뺑반","sehy****","10"
118,"피의 연대기","sunn****","10"
119,"극한직업","ksj0****","10"
120,"러브 유어셀프 인 서울","asd3****","1"
121,"드래곤 길들이기 3","ej2r****","10"
122,"협상","umg9****","6"
123,"드래곤 길들이기 3","cath****","10"
124,"극한직업","c152****","10"
125,"뺑반","song****","10"
126,"스타워즈: 깨어난 포스","zuns****","2"
127,"뺑반","bago****","10"
128,"뺑반","ht59****","10"
129,"뺑반","lma7****","10"
130,"극한직업","heir****","10"
131,"내안의 그놈","hags****","10"
132,"뺑반","lgus****","10"
133,"바닷마을 다이어리","jmhr****","8"
134,"화차","choo****","10"
135,"뺑반","jeon****","10"
136,"피아니스트","hitm****","10"
137,"범블비","lina****","10"
138,"스윙키즈","bran****","8"
139,"뺑반","mare****","10"
140,"뺑반","cykf****","9"
141,"뺑반","hy39****","2"
142,"극한직업","soyo****","10"
143,"뺑반","wwe0****","8"
144,"드래곤 길들이기 3","rlaq****","10"
145,"피아니스트","kwon****","9"
146,"극한직업","ccs0****","9"
147,"내안의 그놈","qord****","10"
148,"뺑반","pyos****","10"
149,"피아니스트","lws2****","10"
150,"극장판 공룡메카드: 타이니소어의 섬","yooj****","7"
151,"주먹왕 랄프 2: 인터넷 속으로","ccs0****","8"
152,"피아니스트","kunh****","10"
153,"러브 유어셀프 인 서울","7863****","10"
154,"드래곤 길들이기 3","deff****","8"
155,"뺑반","bkn0****","2"
156,"극한직업","rlag****","5"
157,"극한직업","bara****","9"
158,"밀양","yeah****","10"
159,"뺑반","aaaa****","10"
160,"신비한 동물들과 그린델왈드의 범죄","ccs0****","9"
161,"극한직업","sozz****","1"
162,"뺑반","fore****","10"
163,"뺑반","hrle****","10"
164,"극한직업","mago****","10"
165,"극한직업","gks0****","8"
166,"달빛 속삭임","skeh****","8"
167,"소공녀","romy****","10"
168,"극한직업","hjoo****","10"
169,"인생 후르츠","chok****","10"
170,"드래곤 길들이기 3","ho12****","10"
171,"말모이","thgs****","10"
172,"설국열차","nada****","4"
173,"뺑반","jm02****","1"
174,"극한직업","dldb****","10"
175,"극한직업","alth****","10"
176,"뺑반","at83****","5"
177,"뺑반","stea****","1"
178,"트루먼 쇼","tjpa****","10"
179,"뺑반","jbch****","10"
180,"염력","sun1****","1"
181,"드래곤 길들이기 3","kera****","9"
182,"뺑반","anst****","10"
183,"드래곤 길들이기 3","rkdw****","10"
184,"뺑반","hapi****","10"
185,"드래곤 길들이기 3","rok_****","10"
186,"극한직업","chdo****","10"
187,"더 헌트","gio9****","10"
188,"극한직업","caro****","10"
189,"뺑반","kobu****","10"
190,"러브 유어셀프 인 서울","suki****","10"
191,"드래곤 길들이기 3","came****","10"
192,"뺑반","rain****","10"
193,"뺑반","ksjo****","10"
194,"피아니스트","miss****","10"
195,"극한직업","fftp****","8"
196,"극한직업","ange****","10"
197,"극한직업","piki****","10"
198,"너의 이름은.","kkim****","9"
199,"극한직업","flsh****","9"
0,"천사와 사랑을","thtl****","8"
1,"뺑반","pand****","10"
2,"뺑반","tang****","4"
3,"극한직업","khs2****","10"
4,"뺑반","chem****","10"
5,"뺑반","noru****","10"
6,"보헤미안 랩소디","jajb****","1"
7,"인생 후르츠","scot****","9"
8,"극한직업","rhff****","10"
9,"뺑반","yeul****","10"
10,"뺑반","mymj****","6"
11,"러브 유어셀프 인 서울","dang****","10"
12,"뺑반","hgj0****","3"
13,"뺑반","gpwj****","10"
14,"극한직업","durq****","1"
15,"뺑반","ocn2****","10"
16,"거미줄에 걸린 소녀","dlwn****","10"
17,"보헤미안 랩소디","jaso****","10"
18,"극한직업","blue****","10"
19,"피아니스트","oroz****","10"
20,"극한직업","anar****","10"
21,"뺑반","jkyt****","6"
22,"일일시호일","bomn****","10"
23,"아쿠아맨","apol****","10"
24,"극한직업","lees****","2"
25,"극한직업","hana****","10"
26,"스윙키즈","thsd****","6"
27,"극한직업","koko****","2"
28,"완벽한 타인","yo87****","10"
29,"오아시스","chil****","10"
30,"뺑반","krr1****","1"
31,"아쿠아맨","kyd9****","10"
32,"그린 북","ckcy****","10"
33,"극한직업","khaw****","10"
34,"극한직업","a958****","10"
35,"메이트","ppym****","9"
36,"주먹왕 랄프 2: 인터넷 속으로","hjuj****","9"
37,"피아니스트","para****","10"
38,"어덜트 월드","kiss****","6"
39,"뺑반","ghkd****","10"
40,"뺑반","gmwl****","2"
41,"극한직업","dudm****","8"
42,"러브 유어셀프 인 서울","meik****","10"
43,"뺑반","that****","2"
44,"극한직업","isin****","10"
45,"뺑반","ekrx****","10"
46,"뺑반","zhan****","10"
47,"드래곤 길들이기 3","tprl****","10"
48,"뺑반","ohtj****","7"
49,"언더독","wwws****","10"
50,"극한직업","kimh****","10"
51,"범블비","rlar****","10"
52,"드래곤 길들이기 3","svtc****","10"
53,"뺑반","dotn****","2"
54,"극한직업","toto****","8"
55,"말모이","powe****","10"
56,"미쓰백","eeee****","10"
57,"보헤미안 랩소디","3436****","10"
58,"드래곤 길들이기 3","joja****","10"
59,"범죄도시","1a00****","4"
60,"남자가 사랑할 때","gksq****","10"
61,"극한직업","joke****","10"
62,"말모이","nice****","10"
63,"극한직업","sony****","10"
64,"신비한 동물들과 그린델왈드의 범죄","isin****","8"
65,"말모이","rlgu****","10"
66,"뺑반","yuki****","6"
67,"러브 유어셀프 인 서울","ah12****","10"
68,"신과함께-인과 연","tkdw****","8"
69,"뺑반","beau****","10"
70,"뺑반","sly1****","5"
71,"500일의 썸머","maey****","6"
72,"드래곤 길들이기 3","aksu****","10"
73,"극한직업","deab****","10"
74,"극한직업","bhsc****","10"
75,"보헤미안 랩소디","tkdw****","8"
76,"불한당: 나쁜 놈들의 세상","lara****","9"
77,"극한직업","fbch****","10"
78,"뺑반","ysi7****","10"
79,"그린 북","sita****","10"
80,"아쿠아맨","itea****","8"
81,"극한직업","rksw****","10"
82,"부도리의 꿈","xx41****","5"
83,"몬스터 파크","dudu****","1"
84,"뺑반","yong****","10"
85,"드래곤 길들이기 3","ksm7****","10"
86,"뺑반","tony****","8"
87,"뺑반","soye****","10"
88,"극한직업","kime****","10"
89,"뺑반","gaor****","8"
90,"해리 포터와 혼혈 왕자","dok6****","10"
91,"극한직업","link****","10"
92,"드래곤 길들이기 3","9531****","10"
93,"극한직업","chld****","10"
94,"극한직업","tiej****","10"
95,"뺑반","pjd5****","10"
96,"그린 북","venu****","10"
