,movie,name,point
6458,내안의 그놈,ekfz****,10
6459,말모이,cyou****,10
6460,인시디어스,kima****,10
6461,보헤미안 랩소디,gine****,9
6462,여곡성,qort****,1
6463,로건,rlat****,10
6464,말모이,geor****,10
6465,마스터,p985****,10
6466,월-E,nose****,10
6467,글래스,cool****,8
6468,트랜센던스,k1s2****,5
6469,내안의 그놈,zxas****,9
6470,미래의 미라이,egar****,10
6471,스윙키즈,ijk3****,10
6472,글래스,erky****,10
6473,내안의 그놈,jsaw****,10
6474,글래스,nobu****,10
6475,글래스,khbe****,8
6476,글래스,nzig****,10
6477,글래스,jaed****,9
6478,주먹왕 랄프 2: 인터넷 속으로,ami2****,10
6479,말모이,aro_****,10
6480,글래스,sshk****,8
6481,글래스,cpli****,10
6482,구스범스: 몬스터의 역습,digd****,8
6483,글래스,a1ov****,10
6484,제5원소,rnon****,10
6485,글래스,kwns****,2
6486,언더독,wldl****,10
6487,미래의 미라이,pgh1****,1
6488,물괴,mete****,5
6489,말모이,wkuh****,1
6490,언더독,heen****,10
6491,린 온 피트,mete****,10
6492,그대 이름은 장미,lwhh****,8
6493,글래스,sdwl****,10
6494,우행록: 어리석은 자의 기록,limg****,9
6495,주피터스 문,mete****,6
6496,로마,jose****,8
6497,언니,brav****,2
6498,글래스,rqsj****,10
6499,글래스,xji5****,10
6500,언더독,gpwl****,10
6501,언니,kiro****,10
6502,글래스,z0rm****,8
6503,글래스,ckba****,1
6504,우행록: 어리석은 자의 기록,cypr****,10
6505,미래의 미라이,ksja****,9
6506,주먹왕 랄프 2: 인터넷 속으로,vivi****,10
6507,글래스,uvge****,9
6508,내안의 그놈,gost****,4
6509,글래스,yv3s****,10
6510,글래스,owda****,10
6511,글래스,zkk3****,9
6512,말모이,sjj0****,4
6513,글래스,calk****,9
6514,글래스,uoqv****,10
6515,그린 북,woul****,10
6516,글래스,xllk****,10
6517,그대 이름은 장미,siri****,10
6518,글래스,h6y6****,10
6519,쿵푸 허슬,alex****,10
6520,글래스,vhir****,10
6521,마약왕,bsjs****,7
6522,아쿠아맨,shju****,10
6523,내 깡패 같은 애인,gadi****,8
6524,글래스,trog****,2
6525,말모이,sd97****,10
6526,글래스,eslg****,10
6527,점박이 한반도의 공룡2 : 새로운 낙원,diva****,10
6528,그대 이름은 장미,yhye****,9
6529,그린 북,biba****,10
6530,언더독,hjh7****,10
6531,언더독,woai****,10
6532,메이트,ilik****,10
6533,말모이,xgou****,10
6534,창간호,wxnt****,10
6535,말모이,pkic****,1
6536,극장판 공룡메카드: 타이니소어의 섬,youj****,10
6537,말모이,smjs****,10
6538,스윙키즈,smjs****,8
6539,암수살인,mond****,7
6540,몬스터 호텔 3,vivi****,10
6541,말모이,hem_****,10
6542,그린 북,hong****,10
6543,신비한 동물들과 그린델왈드의 범죄,smjs****,6
6544,구스 베이비,minh****,10
6545,곰돌이 푸 다시 만나 행복해,vivi****,10
6546,글래스,ilsu****,2
6547,말모이,tldn****,1
6548,말모이,summ****,10
6549,그린치,vivi****,10
6550,내안의 그놈,life****,10
6551,언더독,hyon****,10
6552,보헤미안 랩소디,mk78****,10
6553,글래스,lhv0****,3
6554,바울,tjfr****,10
6555,일일시호일,atey****,10
6556,내안의 그놈,tole****,8
6557,내안의 그놈,suim****,10
6558,왕이 될 아이,leo0****,10
6559,글래스,seed****,10
6560,말모이,yeao****,9
6561,가부와 메이 이야기,gm40****,10
6562,PMC: 더 벙커,yysd****,9
6563,글래스,ckr3****,4
6564,글래스,coma****,7
6565,미래의 미라이,qksl****,10
6566,말모이,snoo****,8
6567,내안의 그놈,jsk2****,6
6568,말모이,qjdz****,10
6569,내안의 그놈,hryu****,5
6570,사도,show****,10
6571,스파이더맨: 뉴 유니버스,yeri****,10
6572,말모이,wyhi****,10
6573,언더독,luck****,10
6574,국가부도의 날,dk01****,8
6575,언더독,hera****,10
6576,언더독,bond****,10
6577,주먹왕 랄프 2: 인터넷 속으로,kmin****,10
6578,아쿠아맨,dk01****,8
6579,스윙키즈,hyem****,10
6580,스파이더맨: 뉴 유니버스,psj3****,10
6581,내안의 그놈,yan1****,1
6582,언더독,amin****,10
6583,왕이 될 아이,ghkr****,10
6584,딥워터 호라이즌,thej****,8
6585,스파이더맨: 뉴 유니버스,solj****,10
6586,글래스,hyei****,2
6587,쉰들러 리스트,mkol****,10
6588,아쿠아맨,solj****,7
6589,언더독,111b****,10
6590,언더독,hyem****,10
6591,그린 북,mjpy****,10
6592,말모이,tais****,1
6593,언더독,sera****,10
6594,보헤미안 랩소디,dool****,10
6595,베놈,yunu****,8
6596,스윙키즈,wami****,8
6597,말모이,bubb****,10
6598,도어락,spir****,2
6599,그대 이름은 장미,xyg7****,10
6600,글래스,dngk****,1
6601,의뢰인,bib2****,10
6602,파크,rmin****,5
6603,글래스,skau****,2
6604,내안의 그놈,ssoo****,1
6605,언니,alsk****,6
6606,내안의 그놈,dnfw****,9
6607,아쿠아맨,jean****,10
6608,그대 이름은 장미,luck****,8
6609,스파이더맨: 뉴 유니버스,dlao****,10
6610,언더독,ssoo****,10
6611,해피 버스데이,rmin****,10
6612,글래스,wzza****,10
6613,그대 이름은 장미,yjuh****,10
6614,인천상륙작전,mdkb****,2
6615,글래스,mizz****,9
6616,말모이,aqux****,10
6617,스윙키즈,hncp****,10
6618,글래스,wupa****,10
6619,언더독,mytj****,10
6620,글래스,nayo****,2
6621,더 서치,yang****,8
6622,미래의 미라이,sugo****,8
6623,왕이 될 아이,wndu****,4
6624,말모이,lsy1****,10
6625,말모이,jran****,10
6626,일일시호일,elxm****,7
6627,글래스,krs4****,4
6628,언니,koko****,4
6629,보헤미안 랩소디,cjsw****,10
6630,이별의 아침에 약속의 꽃을 장식하자,ever****,10
6631,언더독,kira****,10
6632,글래스,rais****,10
6633,레토,lisa****,8
6634,우행록: 어리석은 자의 기록,123h****,10
6635,보헤미안 랩소디,ddan****,10
6636,언더독,lien****,10
6637,미래의 미라이,aksm****,10
6638,미래의 미라이,jp13****,8
6639,글래스,top9****,10
6640,완벽한 타인,eee7****,10
6641,아쿠아맨,elec****,9
6642,글래스,jaes****,10
6643,말모이,07so****,10
6644,내안의 그놈,rnld****,4
6645,말모이,tbjj****,1
6646,디파티드,pooh****,10
6647,언니,s203****,4
6648,글래스,kkot****,9
6649,헌티드,with****,10
6650,언니,go79****,1
6651,글래스,miro****,10
6652,글래스,apyl****,2
6653,글래스,khs2****,9
6654,박화영,bear****,5
6655,그린 북,pmk6****,10
6656,딥워터 호라이즌,keit****,10
6657,그대 이름은 장미,jieu****,10
6658,아포칼립토,24ky****,10
6659,언니,jhye****,10
6660,언니,smrw****,1
6661,글래스,lide****,8
6662,온리 더 브레이브,bear****,7
6663,명탐정 코난 : 제로의 집행인,jhjn****,10
6664,벽 속에 숨은 마법시계,iami****,6
6665,보헤미안 랩소디,bear****,9
6666,주먹왕 랄프 2: 인터넷 속으로,daum****,9
6667,글래스,liw5****,10
6668,리미트리스,west****,1
6669,글래스,hnoz****,10
6670,언니,chrh****,1
6671,글래스,chae****,10
6672,글래스,jwjw****,8
6673,피아노,hurr****,9
6674,클레멘타인,sall****,1
6675,내안의 그놈,arro****,6
6676,글래스,cheo****,3
6677,글래스,suen****,10
6678,국가부도의 날,nano****,8
6679,내안의 그놈,ming****,10
6680,플래시댄스,jm_n****,10
6681,글래스,ijyp****,10
6682,글래스,kill****,9
6683,블랙 팬서,nano****,8
6684,말모이,haei****,10
6685,스윙키즈,tnsr****,5
6686,미래의 미라이,next****,8
6687,리벤져,guev****,2
6688,아쿠아맨,yaho****,8
6689,언더독,eunj****,10
6690,말모이,wngi****,10
6691,국가부도의 날,kist****,10
6692,글래스,gktj****,8
6693,에너미 오브 스테이트,kop2****,10
6694,언니,toco****,1
6695,주먹왕 랄프 2: 인터넷 속으로,wend****,8
6696,극장판 공룡메카드: 타이니소어의 섬,lamy****,10
6697,너의 이름은.,jhjh****,10
6698,드라이빙 미스 데이지,syt0****,9
6699,아쿠아맨,toto****,10
6700,범블비,jaeh****,1
6701,닥터 스트레인지,myst****,6
6702,말모이,yw00****,10
6703,글래스,whwo****,2
6704,글래스,jule****,10
6705,마약왕,02ps****,8
6706,언니,9874****,8
6707,언더독,wogm****,10
6708,보헤미안 랩소디,impa****,9
6709,글래스,bith****,10
6710,글래스,jinj****,10
6711,말모이,hbly****,10
6712,아가씨,jo-s****,10
6713,내안의 그놈,sok6****,10
6714,언니,pij3****,1
6715,우행록: 어리석은 자의 기록,ehrt****,10
6716,언니,psma****,10
6717,말모이,zona****,10
6718,미래의 미라이,lmc0****,10
6719,글래스,joop****,10
6720,말모이,bjyj****,8
6721,킨: 더 비기닝,gamj****,2
6722,글래스,sych****,9
6723,주먹왕 랄프 2: 인터넷 속으로,wooh****,8
6724,언니,dokg****,10
6725,언니,jyjy****,1
6726,내안의 그놈,pete****,1
6727,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,vnfm****,10
6728,글래스,smh9****,4
6729,글래스,kjsy****,9
6730,글래스,hane****,10
6731,언니,fodl****,5
6732,글래스,dlem****,10
6733,글래스,buli****,10
6734,바울,esti****,5
6735,왕이 될 아이,sera****,8
6736,인생 후르츠,alpv****,10
6737,내안의 그놈,kapp****,8
6738,말모이,ayea****,10
6739,보헤미안 랩소디,your****,10
6740,공작,clou****,10
6741,글래스,eb50****,10
6742,언더독,99ho****,10
6743,신과함께-인과 연,rww1****,1
6744,말모이,mals****,10
6745,미래의 미라이,jieu****,4
6746,보헤미안 랩소디,moth****,10
6747,내안의 그놈,ruba****,10
6748,글래스,qmff****,2
6749,유령 신부,kmk3****,10
6750,글래스,bsky****,10
6751,왕이 될 아이,whal****,10
6752,그대 이름은 장미,ucck****,2
6753,벤자민 버튼의 시간은 거꾸로 간다,ehfh****,10
6754,글래스,rhkr****,10
6755,글래스,rnld****,7
6756,패션 오브 크라이스트,wlsd****,10
6757,신비아파트: 금빛 도깨비와 비밀의 동굴,goya****,10
6758,두 남자,quat****,8
6759,글래스,kkr7****,10
6760,내안의 그놈,bdah****,1
6761,그린 북,soft****,9
6762,언더독,dlac****,10
6763,유령 신부,rlas****,10
6764,말모이,skag****,8
6765,온리 더 브레이브,kkai****,4
6766,언더독,akse****,10
6767,미래의 미라이,dlac****,1
6768,내안의 그놈,yhsn****,10
6769,신들의 전쟁,mong****,1
6770,말모이,hayo****,10
6771,미래의 미라이,frj1****,10
6772,창간호,smtj****,1
6773,겨울왕국,real****,1
6774,아이언 자이언트,new9****,10
6775,말모이,aldy****,10
6776,아쿠아맨,im_p****,10
6777,말모이,eork****,7
6778,그대 이름은 장미,zizi****,10
6779,그대 이름은 장미,stin****,5
6780,언더독,yipp****,10
6781,보헤미안 랩소디,adaf****,10
6782,말모이,jjma****,10
6783,스윙키즈,wee0****,6
6784,"나는 내일, 어제의 너와 만난다",rhdu****,10
6785,범블비,myso****,6
6786,내안의 그놈,leti****,10
6787,아쿠아맨,myso****,10
6788,미래의 미라이,ssun****,6
6789,글래스,7892****,6
6790,마약왕,seve****,6
6791,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,i931****,1
6792,말모이,230b****,6
6793,인생 후르츠,kyon****,10
6794,내안의 그놈,jslo****,7
6795,미래의 미라이,han_****,1
6796,글래스,rlat****,10
6797,창간호,jaew****,10
6798,미래의 미라이,abcd****,7
6799,국가부도의 날,hose****,8
6800,글래스,kswm****,1
6801,글래스,rlar****,10
6802,언더독,junj****,6
6803,극장판 공룡메카드: 타이니소어의 섬,soma****,8
6804,마약왕,ajs7****,7
6805,글래스,pw06****,10
6806,글래스,aha1****,10
6807,글래스,radi****,10
6808,내안의 그놈,tyk9****,10
6809,내안의 그놈,cjst****,10
6810,산전수전,anna****,8
6811,말모이,tila****,8
6812,말모이,kih5****,1
6813,너의 이름은.,tyk9****,10
6814,글래스,just****,10
6815,글래스,poui****,2
6816,그대 이름은 장미,tlat****,1
6817,글래스,wing****,10
6818,글래스,7744****,3
6819,마약왕,gfba****,8
6820,미래의 미라이,zmff****,10
6821,언더독,arte****,10
6822,언더독,pgms****,10
6823,글래스,bagu****,10
6824,공작,kih5****,1
6825,글래스,smsd****,10
6826,메이트,yout****,10
6827,언더독,ssrm****,10
6828,번 더 스테이지: 더 무비,kki2****,10
6829,글래스,mu_r****,10
6830,언브레이커블,tyk9****,10
6831,주먹왕 랄프 2: 인터넷 속으로,ssue****,9
6832,글래스,hyoj****,10
6833,언더독,wlal****,10
6834,아쿠아맨,kimu****,8
6835,글래스,arip****,10
6836,언더독,ligh****,10
6837,극장판 공룡메카드: 타이니소어의 섬,altj****,8
6838,글래스,u1yq****,9
6839,글래스,jado****,10
6840,몬스터 주식회사 3D,l220****,10
6841,언니,a501****,1
6842,글래스,kyh6****,10
6843,글래스,701a****,10
6844,글래스,kus3****,10
6845,언니,hell****,1
6846,일일시호일,momo****,9
6847,글래스,h40g****,10
6848,의뢰인,kjon****,8
6849,글래스,t2bi****,10
6850,오블리비언,qkqh****,7
6851,글래스,chle****,10
6852,글래스,wbvy****,9
6853,어른도감,real****,7
6854,글래스,magc****,10
6855,일일시호일,toth****,10
6856,글래스,smd4****,9
6857,국화꽃 향기,pjwz****,10
6858,글래스,nice****,10
6859,말모이,yong****,10
6860,주먹왕 랄프 2: 인터넷 속으로,elwl****,10
6861,그대 이름은 장미,pent****,2
6862,글래스,ho2s****,10
6863,글래스,h655****,10
6864,글래스,dal0****,10
6865,글래스,pyod****,10
6866,아빠는 딸,eunj****,8
6867,말모이,qkek****,10
6868,일일시호일,nsok****,10
6869,글래스,smj9****,10
6870,토이 스토리 3,elwl****,10
6871,아빠는 딸,alsw****,10
6872,글래스,yjap****,10
6873,말모이,nice****,10
6874,얼라이드,love****,10
6875,언더독,yewo****,10
6876,언더독,citi****,10
6877,업,mind****,10
6878,글래스,vous****,10
6879,글래스,dudg****,10
6880,아빠는 딸,hose****,9
6881,일일시호일,pucc****,10
6882,보헤미안 랩소디,roak****,10
6883,내안의 그놈,psk1****,8
6884,글래스,wlsn****,10
6885,그대 이름은 장미,lhh2****,5
6886,인크레더블 2,comj****,7
6887,미션 임파서블: 폴아웃,comj****,7
6888,언니,jinu****,6
6889,마약왕,kjws****,2
6890,보헤미안 랩소디,comj****,8
6891,말모이,ycki****,10
6892,웜 바디스,jmhr****,6
6893,언더독,cnn9****,10
6894,어톤먼트,luvh****,6
6895,글래스,eagl****,9
6896,말모이,skyi****,10
6897,왕이 될 아이,loco****,8
6898,글래스,zawr****,10
6899,언더독,lnkt****,10
6900,글래스,zkkf****,10
6901,언니,wonb****,3
6902,퍼스트 어벤져,giru****,10
6903,메이트,atla****,7
6904,글래스,ugbh****,10
6905,말모이,eksr****,10
6906,글래스,lat4****,10
6907,글래스,qxsl****,8
6908,세 번째 살인,hcki****,10
6909,글래스,sven****,4
6910,글래스,b5kz****,10
6911,글래스,q3sj****,9
6912,완벽한 타인,ssar****,8
6913,주먹왕 랄프 2: 인터넷 속으로,yjin****,10
6914,글래스,z4j2****,9
6915,극장판 공룡메카드: 타이니소어의 섬,dhkd****,10
6916,보헤미안 랩소디,ssar****,8
6917,아쿠아맨,ssar****,8
6918,구스 베이비,dkfl****,10
6919,마약왕,91cj****,6
6920,글래스,pony****,9
6921,점박이 한반도의 공룡2 : 새로운 낙원,laug****,10
6922,왕이 될 아이,pete****,1
6923,글래스,zx17****,2
6924,냉정과 열정 사이,clou****,8
6925,새벽의 저주: 좀비랜드,chee****,1
6926,인크레더블 2,dudd****,10
6927,내안의 그놈,snak****,6
6928,미래의 미라이,lily****,2
6929,글래스,pale****,10
6930,내안의 그놈,alwl****,10
6931,말모이,sjw2****,10
6932,미래의 미라이,touc****,8
6933,언니,for1****,8
6934,Mr.스타벅,ican****,9
6935,그린 북,rntp****,10
6936,언더독,youl****,10
6937,글래스,jjj4****,6
6938,미래의 미라이,wish****,1
6939,말모이,y900****,10
6940,다이빙벨,four****,1
6941,아쿠아맨,wlsw****,8
6942,아빠는 딸,wltn****,7
6943,미래의 미라이,ruph****,8
6944,내안의 그놈,kkhk****,10
6945,미래의 미라이,kimd****,7
6946,글래스,vira****,7
6947,나의 소녀시대,bong****,1
6948,국가부도의 날,kk71****,1
6949,내안의 그놈,sjy9****,10
6950,언더독,jnh0****,10
6951,신데렐라,lily****,10
6952,보헤미안 랩소디,bamz****,10
6953,우행록: 어리석은 자의 기록,yey0****,8
6954,닥터 스트레인지,tmdr****,10
6955,마약왕,jsh1****,1
6956,뷰티풀 투모로우,chan****,10
6957,언니,tami****,2
6958,글래스,tw64****,10
6959,극장판 공룡메카드: 타이니소어의 섬,sa10****,10
6960,내안의 그놈,gsh3****,10
6961,언더독,rose****,10
6962,아쿠아맨,ack2****,9
6963,글래스,jowo****,1
6964,주먹왕 랄프 2: 인터넷 속으로,ruph****,9
6965,왕이 될 아이,terr****,10
6966,"님아, 그 강을 건너지 마오",sja0****,9
6967,보헤미안 랩소디,scjj****,10
6968,스윙키즈,thdt****,10
6969,보헤미안 랩소디,3672****,8
6970,글래스,7blb****,10
6971,유니버셜 솔저 4: 클론의 반란,zmfp****,10
6972,그대 이름은 장미,comf****,8
6973,언더독,nemo****,10
6974,일일시호일,qldk****,8
6975,글래스,gast****,10
6976,글래스,kago****,10
6977,빅뱅 메이드,ekfe****,10
6978,마약왕,cely****,7
6979,아쿠아맨,scjj****,10
6980,내안의 그놈,chet****,2
6981,언더독,beas****,10
6982,인생 후르츠,joys****,10
6983,글래스,swmy****,10
6984,내안의 그놈,alst****,6
6985,내안의 그놈,sir2****,10
6986,인생 후르츠,jhle****,10
6987,12 몽키즈,nazi****,9
6988,성난황소,seag****,5
6989,그것,kimt****,10
6990,글래스,newj****,9
6991,내안의 그놈,jini****,8
6992,도어락,alsw****,10
6993,스파이더맨: 뉴 유니버스,itsr****,10
6994,아쿠아맨,3672****,9
6995,미래의 미라이,mimi****,7
6996,스잔나,alun****,8
6997,PMC: 더 벙커,kimt****,1
6998,8 마일,xogh****,10
6999,말모이,immi****,5
7000,글래스,sdfv****,5
7001,보헤미안 랩소디,wjaw****,1
7002,언더독,gzyq****,10
7003,언더독,xx1w****,10
7004,리스펙트,alun****,7
7005,보헤미안 랩소디,love****,10
7006,브이아이피,jung****,1
7007,글래스,ejc0****,10
7008,글래스,tnqp****,9
7009,말모이,jalh****,10
7010,글래스,xrp5****,10
7011,말모이,psw9****,10
7012,글래스,liki****,9
7013,글래스,snvu****,10
7014,불한당: 나쁜 놈들의 세상,will****,10
7015,글래스,hoyo****,10
7016,내안의 그놈,myou****,10
7017,말모이,ksya****,9
7018,글래스,dkdw****,10
7019,언니,a271****,10
7020,언더독,y3hm****,10
7021,콰이어트 플레이스,opte****,8
7022,내안의 그놈,migy****,8
7023,글래스,wowl****,10
7024,그린 북,0425****,10
7025,미래의 미라이,dmss****,10
7026,언니,same****,1
7027,내안의 그놈,in50****,10
7028,언더독,vv3n****,9
7029,구스 베이비,kimw****,10
7030,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,zuhe****,1
7031,글래스,kvlo****,10
7032,스머프: 비밀의 숲,demo****,10
7033,글래스,jrxw****,10
7034,글래스,c5gd****,10
7035,극장판 공룡메카드: 타이니소어의 섬,leej****,8
7036,말모이,awim****,8
7037,글래스,u6ie****,10
7038,말모이,oaow****,10
7039,글래스,4csy****,10
7040,언더독,lool****,10
7041,언니,oasi****,5
7042,빅 피쉬,o4ka****,10
7043,글래스,kqf3****,9
7044,언더독,chaw****,10
7045,언더독,dali****,9
7046,언더독,eavw****,9
7047,내안의 그놈,gjwl****,1
7048,언더독,fftf****,10
7049,보헤미안 랩소디,soop****,8
7050,언더독,tvrp****,10
7051,보헤미안 랩소디,hee9****,10
7052,내안의 그놈,goo9****,8
7053,내 이름은 칸,atms****,10
7054,맘마미아!,noop****,10
7055,유전,xcxc****,9
7056,이차크의 행복한 바이올린,terj****,9
7057,말모이,yic7****,10
7058,미래의 미라이,lhny****,8
7059,마약왕,nail****,6
7060,언더독,xmkz****,9
7061,언더독,dike****,8
7062,언더독,hmej****,9
7063,말모이,kmhn****,10
7064,빅 피쉬,ghql****,10
7065,글래스,ecqa****,9
7066,글래스,guvr****,10
7067,언더독,yeji****,10
7068,라라랜드,jyc1****,9
7069,글래스,bim1****,8
7070,그대 이름은 장미,hwen****,10
7071,그대 이름은 장미,joa7****,7
7072,"동거, 동락",kimy****,1
7073,소름,high****,8
7074,내안의 그놈,pshh****,10
7075,글래스,hamo****,1
7076,다크 나이트,flfl****,1
7077,내안의 그놈,taek****,10
7078,스윙키즈,sye0****,10
7079,글래스,djtj****,6
7080,글래스,rhrj****,10
7081,내안의 그놈,xodk****,8
7082,미래의 미라이,phy8****,1
7083,내안의 그놈,juli****,10
7084,그린 북,jfkn****,10
7085,말모이,ssab****,7
7086,내안의 그놈,wody****,10
7087,글래스,vivi****,9
7088,죽은 시인의 사회,rlae****,6
7089,미래의 미라이,nimb****,4
7090,글래스,redc****,10
7091,주먹왕 랄프 2: 인터넷 속으로,qmfd****,10
7092,미래의 미라이,dleh****,6
7093,미래의 미라이,pigl****,1
7094,보헤미안 랩소디,rnld****,10
7095,위시업,hhg0****,2
7096,내안의 그놈,giga****,8
7097,글래스,ae5d****,9
7098,언더독,wjdw****,10
7099,글래스,seog****,10
7100,언더독,whit****,9
7101,아쿠아맨,flym****,10
7102,글래스,wsfm****,10
7103,내안의 그놈,sjh9****,3
7104,내안의 그놈,awdr****,10
7105,글래스,wq3o****,10
7106,레버넌트: 죽음에서 돌아온 자,wltj****,10
7107,글래스,ddoq****,10
7108,글래스,m5bf****,10
7109,글래스,e0xv****,10
7110,보헤미안 랩소디,hous****,6
7111,글래스,fdxz****,9
7112,우행록: 어리석은 자의 기록,yasp****,10
7113,구스 베이비,wigh****,10
7114,말모이,jiha****,10
7115,내안의 그놈,ush8****,7
7116,글래스,flsh****,9
7117,극장판 공룡메카드: 타이니소어의 섬,chan****,8
7118,마약왕,silv****,1
7119,아쿠아맨,plp1****,8
7120,말모이,anje****,10
7121,글래스,dnan****,10
7122,레슬러,ush8****,8
7123,우행록: 어리석은 자의 기록,tr03****,10
7124,내안의 그놈,psh0****,10
7125,우행록: 어리석은 자의 기록,qotn****,10
7126,언더독,esf3****,10
7127,미래의 미라이,ekrx****,2
7128,내안의 그놈,ekql****,10
7129,보헤미안 랩소디,bora****,8
7130,말모이,bloo****,10
7131,언더독,ki50****,10
7132,스파이더맨: 뉴 유니버스,prid****,9
7133,코렐라인: 비밀의 문,pipp****,10
7134,언더독,gytj****,10
7135,글래스,redd****,10
7136,트리 오브 라이프,ps77****,10
7137,언니,seoy****,6
7138,내안의 그놈,lumz****,6
7139,호두까기 인형과 4개의 왕국,raon****,8
7140,언더독,12_e****,10
7141,"지금, 만나러 갑니다",saeu****,10
7142,내안의 그놈,la75****,10
7143,공작,liyo****,8
7144,부탁 하나만 들어줘,gudw****,1
7145,극장판 공룡메카드: 타이니소어의 섬,good****,10
7146,원더풀 고스트,real****,10
7147,목격자,liyo****,6
7148,글래스,ilt0****,10
7149,미션 임파서블: 폴아웃,liyo****,8
7150,말모이,myb0****,10
7151,셔터 아일랜드,mink****,10
7152,내안의 그놈,atmo****,10
7153,그녀,tea1****,10
7154,아쿠아맨,liyo****,8
7155,글래스,kjm8****,4
7156,미래의 미라이,kwja****,7
7157,보헤미안 랩소디,p03i****,7
7158,글래스,tpgh****,4
7159,그린 북,dong****,8
7160,미래의 미라이,park****,10
7161,내안의 그놈,mabu****,3
7162,글래스,sewi****,10
7163,보헤미안 랩소디,jiyo****,1
7164,마약왕,nyun****,4
7165,글래스,jcy3****,10
7166,말모이,tnsd****,10
7167,언니,one5****,2
7168,그린 북,kim2****,10
7169,그대 이름은 장미,haes****,8
7170,글래스,jiyo****,10
7171,말모이,bgso****,9
7172,신장개업,yunu****,10
7173,극장판 공룡메카드: 타이니소어의 섬,tjdu****,8
7174,말모이,uamy****,9
7175,그린 북,seok****,6
7176,아쿠아맨,uamy****,9
7177,말모이,eodd****,10
7178,극장판 포켓몬스터 모두의 이야기,uamy****,8
7179,스파이더맨: 뉴 유니버스,smhy****,10
7180,스윙키즈,se04****,8
7181,글래스,ppco****,10
7182,내안의 그놈,spls****,10
7183,언더독,kkam****,10
7184,글래스,mjki****,10
7185,리지,lim0****,8
7186,헝거게임 : 판엠의 불꽃,tjwl****,10
7187,미래의 미라이,hope****,10
7188,글래스,us39****,2
7189,구스 베이비,pyos****,10
7190,미래의 미라이,pyos****,1
7191,말모이,tabi****,10
7192,드래곤 길들이기,na56****,10
7193,글래스,pyos****,1
7194,언더독,ham4****,10
7195,말모이,heye****,10
7196,기다리다 미쳐,dudd****,10
7197,소공녀,ifyo****,10
7198,글래스,ipst****,10
7199,내안의 그놈,ansc****,10
7200,극장판 공룡메카드: 타이니소어의 섬,luck****,10
7201,미래의 미라이,jiwa****,10
7202,말모이,knan****,8
7203,완벽한 타인,apes****,10
7204,내안의 그놈,anst****,8
7205,내안의 그놈,soyu****,10
7206,구스 베이비,brav****,8
7207,말모이,deff****,1
7208,글래스,h264****,10
7209,글래스,moch****,9
7210,말모이,lucy****,10
7211,글래스,yeom****,10
7212,아쿠아맨,yanj****,10
7213,러빙 빈센트,eose****,10
7214,글래스,kiki****,10
7215,곡성(哭聲),wang****,9
7216,언니,yare****,1
7217,내안의 그놈,dbss****,10
7218,시간을 달리는 소녀,dlst****,9
7219,내안의 그놈,vyg2****,8
7220,말모이,yjh3****,10
7221,말모이,butt****,9
7222,말모이,wkdw****,8
7223,말모이,simd****,10
7224,더 포스트,heka****,9
7225,글래스,inae****,6
7226,내안의 그놈,klst****,8
7227,언니,chob****,8
7228,내안의 그놈,dbst****,10
7229,내안의 그놈,s604****,10
7230,마약왕,tj16****,1
7231,미래의 미라이,nbac****,9
7232,글래스,swj3****,10
7233,국가부도의 날,soph****,10
7234,말모이,tj16****,10
7235,글래스,eose****,10
7236,미래의 미라이,ralt****,10
7237,말모이,bayo****,8
7238,그대 이름은 장미,klst****,9
7239,베놈,flow****,10
7240,국가부도의 날,adg4****,10
7241,언더독,miss****,10
7242,말모이,98ve****,10
7243,미래의 미라이,kimh****,2
7244,내안의 그놈,esrh****,6
7245,극장판 공룡메카드: 타이니소어의 섬,nowa****,6
7246,주먹왕 랄프 2: 인터넷 속으로,esrh****,6
7247,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,roro****,1
7248,스타워즈: 깨어난 포스,sun5****,7
7249,메가로돈,sjh7****,2
7250,그대 이름은 장미,tmhl****,10
7251,글래스,esrh****,8
7252,글래스,uniw****,8
7253,언더독,wm1n****,10
7254,말모이,nana****,10
7255,말모이,esrh****,10
7256,언더독,lje0****,10
7257,언더독,vrbu****,10
7258,리벤져,kara****,1
7259,내안의 그놈,ychy****,10
7260,언더독,fang****,10
7261,말모이,shyo****,10
7262,미래의 미라이,wje8****,9
7263,미래의 미라이,tj10****,10
7264,브이아이피,ycw1****,10
7265,어벤져스: 에이지 오브 울트론,skdl****,4
7266,언더독,d31x****,10
7267,그린 북,a126****,10
7268,내안의 그놈,kk09****,8
7269,내안의 그놈,uha0****,10
7270,언더독,cjeq****,10
7271,언더독,juog****,10
7272,블랙 팬서,hdk0****,5
7273,언니,rock****,10
7274,언더독,pa1b****,10
7275,언더독,7kti****,10
7276,글래스,youj****,10
7277,아쿠아맨,gone****,1
7278,미래의 미라이,vani****,10
7279,글래스,susu****,10
7280,글래스,ykjk****,10
7281,그대 이름은 장미,actu****,10
7282,말모이,poro****,10
7283,미래의 미라이,yhki****,3
7284,미래의 미라이,chio****,10
7285,말모이,qkra****,10
7286,글래스,hwan****,10
